:id,ms,e_w,longitude,latitude,local_time,utc_date,source,heading,altitude,n_s,utc_time,track_id,index,lap_id,valid,local_date,speed
row-xwb5.b9pa~44aa,563,W,112.134701,33.84397,20:32:48,3/3/2015,GPS16,298.266883,182.37944,N,0:32:48,1,1,0,FIXED,3/2/2015,0.871218
row-ncbw-ijqa_g7i6,0,W,112.134834,33.844029,20:32:54,3/3/2015,GPS16,318.233944,175.66774,N,0:32:54,1,2,0,FIXED,3/2/2015,0.128153
row-b668~a3ky~jjv9,0,W,112.134848,33.844042,20:32:59,3/3/2015,GPS16,224.300555,175.571548,N,0:32:59,1,3,0,FIXED,3/2/2015,0.070374
row-84ri_6dz2.kv8k,0,W,112.135595,33.843406,20:33:04,3/3/2015,GPS16,67.874975,377.885803,N,0:33:04,1,4,0,FIXED,3/2/2015,0.056445
row-ah2i.8na6-izuq,0,W,112.135515,33.843433,20:33:09,3/3/2015,GPS16,245.335727,484.455017,N,0:33:09,1,5,0,FIXED,3/2/2015,0.002379
row-ac4g_fbaf_9j6w,0,W,112.135526,33.843428,20:33:14,3/3/2015,GPS16,263.825586,502.085144,N,0:33:14,1,6,0,FIXED,3/2/2015,0.26179
row-ffmi_2aqv.ffct,0,W,112.135537,33.843427,20:33:19,3/3/2015,GPS16,246.791567,512.127258,N,0:33:19,1,7,0,FIXED,3/2/2015,0.03172
row-e3xu.4q9k.7742,0,W,112.13554,33.843426,20:33:24,3/3/2015,GPS16,285.562265,514.795105,N,0:33:24,1,8,0,FIXED,3/2/2015,0.006865
row-pqae_knym_9t8e,0,W,112.13554,33.843426,20:33:29,3/3/2015,GPS16,14.657141,514.81366,N,0:33:29,1,9,0,FIXED,3/2/2015,0.006212
row-yvke_fquc-9vi4,0,W,112.13554,33.843426,20:33:34,3/3/2015,GPS16,269.357599,514.822693,N,0:33:34,1,10,0,FIXED,3/2/2015,0.018761
row-8jnj-jmkk_2pms,0,W,112.13554,33.843426,20:33:39,3/3/2015,GPS16,218.648662,514.824768,N,0:33:39,1,11,0,FIXED,3/2/2015,0.015303
row-epwa_byzu_854u,0,W,112.13554,33.843426,20:33:44,3/3/2015,GPS16,330.242094,514.821594,N,0:33:44,1,12,0,FIXED,3/2/2015,0.013114
row-6qu5~k84s_392x,0,W,112.13554,33.843426,20:33:49,3/3/2015,GPS16,292.866109,514.820801,N,0:33:49,1,13,0,FIXED,3/2/2015,0.005348
row-kc34~b38i_geuk,0,W,112.135541,33.843426,20:33:54,3/3/2015,GPS16,305.022217,514.818298,N,0:33:54,1,14,0,FIXED,3/2/2015,0.023219
row-6dn2-uwhk-jfgp,0,W,112.135541,33.843426,20:33:59,3/3/2015,GPS16,301.335889,514.821411,N,0:33:59,1,15,0,FIXED,3/2/2015,0.004667
row-d6hk_8np2.z3cw,0,W,112.135541,33.843426,20:34:04,3/3/2015,GPS16,251.758362,514.822388,N,0:34:04,1,16,0,FIXED,3/2/2015,0.010186
row-3ywy_jzjt-y7kn,0,W,112.135541,33.843426,20:34:09,3/3/2015,GPS16,179.20388,514.828613,N,0:34:09,1,17,0,FIXED,3/2/2015,0.007864
row-qwnr_2xff-ivw9,0,W,112.135541,33.843426,20:34:14,3/3/2015,GPS16,195.822769,514.837402,N,0:34:14,1,18,0,FIXED,3/2/2015,0.010994
row-fkx4~unwj~6vuq,0,W,112.135541,33.843426,20:34:19,3/3/2015,GPS16,28.541793,514.84552,N,0:34:19,1,19,0,FIXED,3/2/2015,0.003834
row-qh9m-vfau.tj8t,0,W,112.135541,33.843426,20:34:24,3/3/2015,GPS16,341.208093,514.856628,N,0:34:24,1,20,0,FIXED,3/2/2015,0.00139
row-bi4s-fjdc-9zzm,0,W,112.135541,33.843426,20:34:29,3/3/2015,GPS16,18.302017,514.868286,N,0:34:29,1,21,0,FIXED,3/2/2015,0.019322
row-h2iz~iawr~a99t,0,W,112.135541,33.843426,20:34:34,3/3/2015,GPS16,14.671936,514.878113,N,0:34:34,1,22,0,FIXED,3/2/2015,0.014305
row-7r64_h9ps-vygx,0,W,112.135541,33.843426,20:34:39,3/3/2015,GPS16,326.55528,514.886658,N,0:34:39,1,23,0,FIXED,3/2/2015,0.021051
row-x8p2.2c8k_rdk3,0,W,112.135541,33.843426,20:34:44,3/3/2015,GPS16,30.736607,514.894958,N,0:34:44,1,24,0,FIXED,3/2/2015,0.020178
row-y7t8.escz_8mrp,0,W,112.135541,33.843426,20:34:49,3/3/2015,GPS16,48.96733,514.898743,N,0:34:49,1,25,0,FIXED,3/2/2015,0.00492
row-4js4.vnmv_t8ab,0,W,112.135541,33.843426,20:34:54,3/3/2015,GPS16,28.990043,514.902405,N,0:34:54,1,26,0,FIXED,3/2/2015,0.003902
